affiliations,age,birthday,blood_type,bounty,devil_fruit_name,devil_fruit_type,height,name,occupations,origin,status,weight
Newkama Land,,,,,,,,Francois,Prisoner of the Great Prison (former),,Alive,
Foxy Pirates,36 (debut),April 4th,S,,Slow-Slow Fruit,Paramecia,"180 cm (5'11"")",Foxy,Pirate,South Blue,Alive,
Whitebeard Pirates,,,,,,,,N/A,Pirate,,Alive,
Beasts Pirates,,,,,Chicken ,Artificial Zoan,,Fourtricks,Shinuchi,,Alive,
Whitebeard Pirates,Over 30,April 15th,,,,,,Fossa,15th Division ,North Blue,Alive,
Sun Pirates,,November 5th,S (RH-),,,,"520 cm (17'1"")",Fisher Tiger,Adventurer;,Grand Line,Deceased,
Ukkari Hot-Spring Island,,April 10th ,,,,,,Forest Boss,Boss of the Forest,,Alive,
Tontatta Kingdom,,July 28th,,,,,,Flapper,Pirate,,Alive,
Marines,,,,,,,,Fishbonen,Doctor,,Alive,
Kid Pirates,21 (debut),January 10th,F,,Magnet-Magnet Fruit,Paramecia,"205 cm (6'9"") (debut, after timeskip)",Eustass Kid,Pirate Captain,South Blue,Alive,
Mermaid Café,,,,,,,,Fiyonce,Dancer,,Alive,
Caesar Clown,,,,,,,,Fen Bock,,,Alive,
Spade Pirates,,,,,,,,Finamore,Pirate,,Alive,
Hawkins Pirates,,December 13th,,,,,,Faust,Pirate,North Blue,Alive,
Arabasta,,,,,,,,Falafra (Viz);,Rebel (former),,Alive,
Beautiful Pirates,,August 29th,,,,,,Farul,Cavendish's steed,,Alive,
,,,,,,,,Esta,,,Alive,
Roger Pirates,,,,,,,,Elio,Pirate,,Unknown,
God's Army,37 (debut),May 6,S,,Rumble-Rumble Fruit,Logia,"266 cm (8'9"")",Eneru,God,Sky Islands,Alive,
Germa Kingdom,,August 2nd,,,,,,Epony,Nurse,,Alive,
Revolutionary Army,51 (debut),January 8th,XF,,Horm-Horm Fruit (VIZ and Funimation);,Paramecia,"449 cm (14'8"")",Emporio Ivankov,Revolutionary Commander; ,Grand Line,Alive,
Whitebeard Pirates,Over 30,June 4th,,,,,,Epoida,Pirate,,Alive,
Kuja,,February 24th,,,,,,Genista (Viz);,Lady's maid,Calm Belt,Alive,
Prodence Kingdom,57,February 2nd,F,,,,"436 cm (14'3½"")",Elizabero II; Elizabello II,King,Grand Line,Alive,
Suna Suna Clan,,,,,,,,Eric,Rebel (former),,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Big Mom Pirates,,,,,,,,Eggplant Soldier,Guard; Soldier,,Alive,
Subordinate of the ,,June 30th,,,,,,Elmy,Pirate,,Alive,
Bellamy Pirates,,,,,,,,Eddy,Pirate,,Unknown,
,,,,,,,,Ehgana,,,Alive,
Whitebeard Pirates,,April 6th,F,,Tremor-Tremor Fruit,Paramecia,"666 cm (21'10"")","Edward Newgate (Viz, FUNimation);",Pirate Captain,Grand Line,Deceased,
Seven Warlords of the Sea,35,December 10th,S,,,,"680 cm (22'3¾"")",Edward Weevil,Pirate,Grand Line,Alive,
,,,,,,,,Edison,,,Alive,
,,,,,,,,Eyri,,,Unknown,
Rosy Life Riders,23 (debut),August 11th,S,,,,"470 cm (15'5"")",Duval,Leader of the Rosy Life Riders,,Alive,
Spade Pirates,,,,,,,,Ducky Bree,Pirate,,Alive,
Du Feld Conglomerate;,,December 29th,,,,,,Du Feld,Emperor of the Underworld,,Unknown,
Marines,,,,,,,,Dorrow,Vice Admiral,,Alive,
New Spiders Cafe,49 (debut),December 25th,S,,Mole-Mole Fruit (FUNimation);,Zoan,"156 cm (5'1"")",Drophy,Cafe Waitress,Grand Line,Alive,
Cross Guild,41 (debut),March 9th,S,,,,"198 cm (6'6"") (debut, after timeskip)",Dracule Mihawk,Pirate,,Alive,
Giant Warrior Pirates,158 (debut),October 2nd,F,,,,"2260 cm (74'2"")",Dorry,Pirate,Grand Line,Alive,
Fake Straw Hat Crew,24,October 22nd,XF,,,,"208 cm (6'10"")",Gack (VIZ);,Pirate,East Blue,Unknown,
,,June 3rd,,,,,,Dragon Number Thirteen,Guard,,Deceased,
Underworld,,September 29th,,,,,,Drug Peclo,Undertaker;,,Alive,
Roger Pirates,,,,,,,,Doringo,Pirate,,Unknown,
New Fish-Man Pirates,30,October 9th,S,,,,"418 cm (13'8"")",Dosun,Pirate,Grand Line,Alive,
Marines,,July 15th,S,,Calm-Calm Fruit,Paramecia,"293 cm (9'7½"")",Don Quixote Rocinante (Viz); Donquixote Rosinante (Funimation subs); Don Quixote Rosinante (Funimation dub),Marine Commander,Red Line,Deceased,
World Government,,,,,,,,Don Quixote Homing,World Noble,,Deceased,
World Government,,December 13th,,,,,,"Don Quixote Myosgard (Viz, FUNimation dub (Ep 545))",World Noble,,Alive,
Donquixote Pirates,39 (debut),October 23rd,X,,String-String Fruit,Paramecia,"305 cm (10') (debut, after timeskip)",Don Quixote Doflamingo,Pirate Captain,Red Line,Alive,
,,,,,,,,Dolan,,,Alive,
Roger Pirates,,,,,,,,Donkino,Pirate,,Unknown,
Kozuki Family,,,,,,,,Dotaku,Samurai,,Alive,
Foxy Pirates,,,,,,,,Donovan,Pirate,,Alive,
,,January 30 (Domo-kun),,,,,,"Domo-kun, Nnke-kun",,,Alive,
Beasts Pirates,,,,,,,,N/A,Waiter,,Alive,
Impel Down,,October 30th,,,,,,Domino,Head Jailer;,Grand Line,Alive,
Marines,,,,,,,,Doll,Vice Admiral,,Alive,
Subordinate of the ,,February 1st,,,,,,Doma,Pirate,,Alive,
Dadan Family,,December 19th,,,,,,Dogura (Viz);,Bandit,East Blue,Alive,
Blackbeard Pirates,26 (debut),October 18th,S,,Sick-Sick Fruit,Paramecia,342 cm (11'3),Doc Q,Pirate,North Blue,Alive,
Spade Pirates,,,,,,,,Dogya,Pirate,,Alive,
,,,,,,,,Howja Geddinthere II,Prisoner of ,,Unknown,
Beasts Pirates,,,,,Hippopotamus ,Artificial ,,Dobon,Shinuchi,,Alive,
Marines,,October 8th,,,,,,Doberman,Vice Admiral,,Alive,
,,,,,,,,Dobby Ibadonbo,Prisoner of ,,Unknown,
Donquixote Doflamingo,,June 12th,,,,,,Disco,Owner of ,,Alive,
Barrels Pirates,,,,,,,,Diez Barrels,Pirate,,Deceased,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Ukkari Hot-Spring Island,,August 4th,,,,,,Earth Boss,Digger,,Alive,
Big Mom Pirates,,,,,,,,Diesel,Pirate,,Alive,
Kozuki Family,47,October 26th,XF,,,,"306 cm (10'0½"")",Denjiro,Samurai,Grand Line,Alive,
Goa Kingdom,,,,,,,,Didit,Noble,,Alive,
,62,October 10th,X,,,,"435 cm (14'3"")",Den,Shipwright,Grand Line,Alive,
Donquixote Pirates,45,May 29th,S,,Ripple-Ripple Fruit,Paramecia,"525 cm (17'3"")",Diamante,Pirate,North Blue,Alive,
Acumate Pirates,,September 18th,,,,,,Devil Dias (Viz);,Pirate,,Unknown,
Donquixote Pirates,16,August 11th,S (RH-),,,,"145 cm (4'9"")",Dellinger,Pirate,North Blue,Alive,
Fake Straw Hat Crew,36,May 5th,S,,,,"245 cm (8'0"")","Demaro Black (FUNimation),",Pirate,East Blue,Alive,
Cross Guild,29 (debut),January 1st,F,,Dice-Dice fruit,Paramecia,"212 cm (6'11½"")",Daz Bonez,Pirate,West Blue,Alive,
Subordinate of the ,,September 1st,,,,,,Delacuaji,Pirate,,Alive,
Subordinates of the ,,May 22nd,,,,,,Decalvan Brothers (Viz),Pirates,,Alive,
New Fish-Man‎ Pirates,30,July 8th,F,,,,122 cm (4'),Daruma,Pirate,Grand Line,Alive,
Sakura Kingdom,33 (debut),June 10th,X,,"Ox-Ox Fruit, Bison Model (Viz);",Zoan,"218 cm (7'2"")",Dalton,King,Grand Line,Alive,
,,,,,,,,Damask,Pyromaniac,,Alive,
Kuja,,February 15th,,,,,,Daisy,Pirate,Calm Belt,Alive,
Tontatta Kingdom,,,,,,,,Daikon,Scout,,Alive,
Marines,,November 1st,,,,,,Dalmation,Vice Admiral,,Alive,
Beasts Pirates,42,May 12th,S,,,,"436 cm (14'3"")",Daikoku,Ninja,Wano Country,Alive,
Marines,,August 24th,,,,,,Daigin,Commodore,West Blue,Alive,
Dadan Family,43 (debut),August 30th,X,,,,"221 cm (7'3"")",Curly Dadan,Mountain Bandit Boss,East Blue,Alive,
Beasts Pirates,,,,,Scorpion ,Artificial ,,Daifugo,Shinuchi,,Alive,
,,,,,,,,Daedalus (Viz); Daidalos (Funimation),,,Deceased,
Beasts Pirates,,,,,Ostrich ,Artificial Zoan,,N/A,Gifter,,Alive,
World Government,,,,,,,,N/A,Housefather,East Blue,Alive,
Prodence Kingdom,,September 26th,,,,,,Dagama,Tactician,,Alive,
Whitebeard Pirates,,September 12th,,,,,,Curiel,10th Division ,Grand Line,Alive,
Cross Guild,44 (debut),September 5th,S,,Sand-Sand Fruit,Logia,"253 cm (8'3½"") (debut, after timeskip)",Crocodile,Pirate,Grand Line,Alive,
Roger Pirates,71 (debut),June 4th,XF,,,,"203 cm (6'8"")",Crocus,Doctor,Grand Line,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Germa Kingdom,,May 2nd,,,,,,Cosette,Head Chef,,Alive,
Tontatta Kingdom,,,,,,,,Cotton,Scout;,,Alive,
Automata,,,,,,,,Cosmo,Sergeant,,Alive,
Kuja,,September 26th,,,,,,Cosmos,Pirate,Calm Belt,Alive,
Spade Pirates,,,,,,,,Cornelia,Pirate,,Alive,
Caribou Pirates,29,May 2nd,XF,,,,"250 cm (8'2"")",Coribou,Pirate,North Blue,Alive,
Yonta Maria Grand Fleet,,May 16th,,,,,,Columbus,Pirate,,Alive,
World Government,,August 25th,,,,,,Corgy,Government official,,Alive,
Pumpkin Cafe,19 (debut),May 20th,F,,,,"176 cm (5'9"")",Conis,Waitress,Grand Line,Alive,
Mokomo Dukedom,29,November 2nd,F,,,,"204 cm (6'8"")",Concelot,Three Inuarashi Musketeers,Grand Line,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Whitebeard Pirates,,,,,,,,Colscon,Pirate,,Alive,
Marines,,October 1st,,,,,,Komille (Viz),Vice Admiral,,Alive,
Animals of the ,,February 19,,,,,,Buckox,,,Alive,
Ohara Scholars,,April 8th,X,,,,"172 cm (5'8"")",Clover,Professor and archaeologist of the ,West Blue,Deceased,
Fake Straw Hat Crew,27,November 7th,X,,,,"138 cm (4'6"")",Cocoa,Pirate,East Blue,Alive,
Shandia,,,,,,,,N/A,Chief of Shandia,Jaya,Deceased,
Heart Pirates,,February 17th,,,,,,Clione,Pirate,,Alive,
Foxy Pirates,,,,,,,,Chuchun (Viz);,Pirate,,Alive,
,,,,,,,,Chuji,,,Alive,
Ally of the ,,,,,,,,Choi,Pirate,,Alive,
Fake Straw Hat Crew,26,September 21st,X,,,,"181 cm (5'11"")",Chocolat,Pirate,East Blue,Unknown,
Cacao Island,,,,,,,,Choco-Police (VIZ); Chocopolice (Funimation),Police Officer,,Unknown,
Beasts Pirates,14,April 24th,F,,,,"150 cm (4'11"")",Chome,Ninja,Wano Country,Alive,
Hocker,12 (debut);,November 22nd,,,,,"40 cm (1'4"")",Chouchou;,Pet,East Blue,Alive,
,,,,,,,,N/A,,,Alive,
Shandia,,,,,,,,N/A,Pantri,Jaya,Deceased,
,,,,,,,,N/A,Student,,Alive,
,,,,,,,,Ocho,Yakuza,,Alive,
Chinjao Family,78,December 12th,F,,,,"520 cm (17'1"")",Qing Jiao; Chin Jao,12th ,West Blue,Alive,
Kokoro,8 (debut),June 2nd,S,,,,"115 cm (3'9"")",Chimney,Sunday stationmaster of the ,Grand Line,Alive,
,,February 8th,,,,,,Mrs. Chicken,Fishmonger,,Alive,
,,,,,,,,N/D,Leader of the ,,Alive,
Arlong Pirates,33 (debut),May 23rd,X,,,,"257 cm (8'5"")",Choo,Pirate,Grand Line,Alive,
,,,,,,,,Chesskipper,Pirate,,Unknown,
Charlotte Family,19,October 15th,,,,,,Charlotte Yuen,Pirate,,Alive,
Bliking Pirates,30 (debut),July 20th,S,,,,"194 cm (6'4"")",Chess,Head of ,Grand Line,Alive,
Charlotte Family,44,,,,,,,Charlotte Zuccotto,Pirate,,Alive,
Charlotte Family,12,,,,,,,Charlotte Uiro,,,Alive,
Charlotte Family,13,,,,,,,Charlotte Wafers,,,Alive,
Charlotte Family,36,,,,,,,Charlotte Tablet,Pirate,,Alive,
Charlotte Family,30,October 29th,,,,,,Charlotte Snack,Pirate,,Alive,
Charlotte Family,35,October 12th,F,,Wring-Wring Fruit,Paramecia,"464 cm (15'3"")",Charlotte Smoothie,Sweet Commander,Grand Line,Alive,
Charlotte Family,16,June 25th,XF,,Memo-Memo Fruit,Paramecia,"166 cm (5'5"")",Charlotte Pudding,Pirate,Grand Line,Alive,
Sun Pirates,29,July 22nd,S (RH-),,,,"800 cm (26'3"")",Charlotte Praline,Minister,Grand Line,Alive,
Charlotte Family,22,March 23rd,,,,,,Charlotte Raisin,Pirate,,Alive,
Charlotte Family,34,,,,,,,Charlotte Saintmarc (Viz);,Pirate,,Alive,
Charlotte Family,31,October 19th,,,,,,Charlotte Poire,Pirate,,Alive,
Charlotte Family,29,July 22nd,,,,,,Charlotte Prim,Pirate,,Alive,
Charlotte Family,10,,,,,,,Charlotte Normande,,,Alive,
Charlotte Family,50,March 14th,X,,Lick-Lick Fruit,Paramecia,"333 cm (10'11"")",Charlotte Perospero (Viz); Charlotte Perosperaw (,Pirate,Grand Line,Alive,
Charlotte Family,21,,,,,,,Charlotte Panna,Pirate,,Alive,
Charlotte Family,42,January 23rd,,,,,,Charlotte Nusstorte,Pirate,,Alive,
Charlotte Family,48,November 25th,F,,Heat-Heat Fruit,Paramecia,"492 cm (16'2"")",Charlotte Oven,Pirate,Grand Line,Alive,
Charlotte Family,46,September 29th,,,Cream-Cream Fruit,Paramecia,,Charlotte Opera,Pirate,,Unknown,
Charlotte Family,17,,,,,,,Charlotte Nougat,Pirate,,Alive,
Charlotte Family,41,December 15th,,,,,,Charlotte Noisette,Pirate,,Alive,
Charlotte Family,37,December 20th,,,,,,Charlotte Mozart,Pirate,,Alive,
Charlotte Family,40,December 16th,,,,,,Charlotte Moscato,Pirate,,Alive,
Charlotte Family,25,November 17th,,,,,,Charlotte Myukuru,Pirate,,Alive,
Charlotte Family,38,April 23rd (World Book Day),X,,Book-Book Fruit,Paramecia,"260 cm (8'6"")",Charlotte Montd'Or (Viz),Pirate,Grand Line,Alive,
Charlotte Family,28,,,,,,,Charlotte Montb,Pirate,,Alive,
Charlotte Family,33,,,,,,,Charlotte Melise,Pirate,,Alive,
Charlotte Family,25,November 17th,,,,,,Charlotte Mobile,Pirate,,Alive,
Charlotte Family,47,December 10th,,,,,,Charlotte Monder (Viz);,Pirate,,Alive,
Charlotte Family,40,December 16th,,,,,,Charlotte Mash,Pirate,,Alive,
Big Mom Pirates,68,February 15th,X,,Soul-Soul Fruit,Paramecia,"880 cm (28'10½"")",Charlotte Linlin,Pirate,Grand Line,Unknown,
Charlotte Family,25,November 17th,,,,,,Charlotte Maple,Pirate,,Alive,
Charlotte Family,25,November 17th,,,,,,Charlotte Marble,Pirate,,Alive,
Charlotte Family,20,February 27th,,,,,,Charlotte Mascarpone,Pirate,,Alive,
Charlotte Family,37,December 20th,,,,,,Charlotte Marnier,Pirate,,Alive,
Rolling Pirates,24 (debut),January 27th (Proposal Day),F,,,,"215 cm (7'0½"")",Charlotte Lola,Pirate,Grand Line,Alive,
Charlotte Family,28,,,,,,,Kato (Funimation subs);,Pirate,,Alive,
Charlotte Family,39,,,,,,,Charlotte Laurin,Pirate,,Alive,
Charlotte Family,48,November 25th,XF,,Mochi-Mochi Fruit,Special ,"509 cm (16'8½"")",Charlotte Katakuri,Sweet Commander,Grand Line,Alive,
Charlotte Family,31,October 19th,,,Butter-Butter Fruit,Paramecia,,Charlotte Galette,Pirate,,Alive,
Charlotte Family,28,,,,,,,Charlotte Kanten,Pirate,,Alive,
Charlotte Family,20,February 27th,,,,,,Charlotte Joscarpone,Pirate,,Alive,
Charlotte Family,47,December 10th,,,,,,Charlotte Hachee,Pirate,,Alive,
Charlotte Family,46,September 29th,,,,,,Charlotte Gala,,,Alive,
Charlotte Family,15,February 11th,S,,,,"170 cm (5'7"")",Charlotte Flampe,Pirate,Grand Line,Alive,
Charlotte Family,23,,,,,,,Charlotte Joconde,Pirate,,Alive,
Charlotte Family,47,December 10th,,,,,,Charlotte Effiler (Viz);,Pirate,,Alive,
Charlotte Family,36,,,,,,,Charlotte High-Fat,Pirate,,Alive,
Charlotte Family,45,February 28th,,,,,,Charlotte Custard,Pirate,,Alive,
Charlotte Family,9,February 21st,,,,,,Charlotte Dolce and Dragée (Viz);,,,Alive,
Charlotte Family,32,,,,,,,Charlotte Dacquoise,Pirate,,Alive,
Charlotte Family,11,,,,,,,Charlotte De-Chat,,,Alive,
Charlotte Family,46,September 29th,,,,,,Charlotte Counter,Pirate,,Alive,
Charlotte Family,48,November 25th,X,,Puff-Puff Fruit,Paramecia,"489 cm (16'0"")",Charlotte Daifuku,Pirate,Grand Line,Alive,
Charlotte Family,42,January 23rd,,,,,,Charlotte Dosmarche,Pirate,,Alive,
Charlotte Family,45,February 28th,X,,Bis-Bis Fruit,Paramecia,"307 cm (10'1"")",Charlotte Cracker,Sweet Commander,Grand Line,Alive,
Charlotte Family,40,December 16th,,,,,,Charlotte Cornstarch,Pirate,,Alive,
Charlotte Family,49,October 15th,,,,,,Charlotte Compote,Pirate,,Alive,
Charlotte Family,35,October 12th,,,,,,Charlotte Citron,Pirate,,Alive,
Charlotte Family,39,,,,,,,Charlotte Compo,Pirate,,Alive,
Fire Tank Pirates,26,January 27th,F,,,,"215 cm (7'0½"")",Charlotte Chiffon,Cook,Grand Line,Alive,
Charlotte Family,35,October 12th,,,,,,Charlotte Cinnamon,Pirate,,Alive,
Charlotte Family,46,September 29th,,,,,,Charlotte Cabaletta,Pirate,,Alive,
Charlotte Family,24,,,,,,,Charlotte Brownie,Pirate,,Alive,
Charlotte Family,43,March 6th,,,,,,Charlotte Broye,Pirate,,Alive,
Charlotte Family,43,March 6th,S,,Mirror-Mirror Fruit,Paramecia,"350 cm (11'6"")",Charlotte Brulee,Pirate,Grand Line,Alive,
Charlotte Family,27,,,,,,,Charlotte Chiboust,Pirate,,Alive,
Charlotte Family,46,September 29th,,,,,,Charlotte Cadenza,Pirate,,Alive,
Charlotte Family,30,October 29th,,,,,,Charlotte Bavarois,Pirate,,Alive,
Charlotte Family,42,January 23rd,,,,,,Charlotte Bassquarte (Viz);,Pirate,,Alive,
Charlotte Family,47,December 10th,,,,,,Charlotte Amande,Pirate,,Alive,
World Government,22 (debut),June 1st,XF,,,,"230 cm (7'6"")",Saint Charlos (Viz);,World Noble,Red Line,Alive,
Charlotte Family,45,February 28th,,,,,,Charlotte Angel,Pirate,,Alive,
Charlotte Family,34,,,,,,,Charlotte Basans,Pirate,,Alive,
Charlotte Family,18,December 2nd,,,,,,Decuplets,Pirates,,Alive,
Charlotte Family,8,April 17th,,,,,,Charlotte Anana,,,Alive,
Charlotte Family,14,October 19th,,,,,,Charlotte Anglaise,,,Alive,
Caesar Clown,,,,,,,,Chappe,,,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Caesar Clown,43 (debut),February 3rd,S,,,,"691 cm (22'8½"")",Browndros Beardriguez,Leader of the ,Grand Line,Alive,
Levely,,,,,,,,N/A,King,,Alive,
Nojiko,,June 14th,,,,,,Chabo,Laborer,East Blue,Alive,
Tontatta Kingdom,,,,,,,,Chao,Factory worker (former),,Alive,
Arabasta Kingdom,39 (debut),April 26th,S,,"Dog-Dog Fruit, Model: Jackal (FUNimation); Mutt Mutt Fruit: Jackal Mode (Viz); Mutt-Mutt Fruit: Jackal Strike (4Kids)",Zoan,213 cm (7'),Chaka,Commander,Grand Line,Alive,
Thriller Bark Pirates,,November 29th,,,,,,Cerberus,Wild Zombie,,Deceased,
Roger Pirates,,,,,,,,CB Gallant,Pirate,,Unknown,
Beautiful Pirates,26,August 31st,XF,,,,"208 cm (6'10"")",Cavendish,Captain of the First Ship of the ,Grand Line,Alive,
Mokomo Dukedom,15,May 24th,F,,,,"161 cm (5'3"")",Carrot,Ruler of the Mokomo Dukedom;,Grand Line,Alive,
Caribou Pirates,32,July 4th,XF,,Swamp-Swamp Fruit,Logia,"228 cm (7'6"")",Caribou,Pirate,North Blue,Alive,
Blackbeard Pirates,34 (debut),March 29th,F,,"Dog-Dog Fruit, Model: Nine Tailed Fox",Mythical Zoan,"361 cm (11'10"")","Catarina Devon, Catalina Devon",Pirate,South Blue,Alive,
Underworld,,December 21st,S,,Soul-Soul Fruit,Paramecia,185 cm (6'1),Carmel,Child Trafficker,West Blue,Deceased,
Marines,,,,,,,,Catacombo,Rear Admiral,,Alive,
Baratie,32 (debut),February 9th,S,,,,"171 cm (5'7"")",Carne,Charcutier,,Alive,
Fire Tank Pirates,40 (debut),January 17th,S,,Castle-Castle Fruit,Paramecia,"166 cm (5'5½"") (debut, after timeskip)",Capone Bege,Pirate,West Blue,Alive,
Fire Tank Pirates,1,January 22nd,,,,,,Capone Pez,,,Alive,
Ally of the ,,,,,,,,Cans,Pirate,,Alive,
Candy Pirates,,June 14th,,,,,,N/A,Pirate,,Unknown,
Foxy Pirates,,May 1st,,,,,,Capote,Pirate,,Alive,
Marines,,,,,,,,Cancer,Vice Admiral,,Alive,
Marines,Over 30,May 19th,,,,,,Kandre,Marine,,Alive,
Kuzan,,,,,,,,Camel,Kuzan's traveling companion,,Alive,
Takoyaki 8,16 (debut),November 3rd,X,,,,197 cm (6’5½”),Camie,Fashion designing apprentice,,Alive,
,,,,,,,,Bushon,Station Manager,,Alive,
Ohara Archaeologists,,,,,,,,Busshiri,Archaeologist,,Deceased,
Beasts Pirates,,,,,Caiman ,Artificial Zoan,,Caiman Lady,Gifter,,Alive,
Fire Tank Pirates,55,April 9th,X,,Gas-Gas Fruit,Logia,"309 cm (10'1½"")",Caesar Clown,Scientist,Grand Line,Alive,
,25 (debut),December 18th,,,,,"192 cm (6'3½"")",Byron,Musician,,Alive,130 kg (286.6 lbs)
Cross Guild,32 (debut),September 8th,X,,,,"208 cm (6'10"")",Cabaji,Pirate,East Blue,Alive,
Red Hair Pirates,,,,,,,,Building Snake,Pirate,,Alive,
,,,,,,,,Bungoh,Arsonist;,,Alive,
,,,,,"Dog-Dog Fruit, Model Tanuki",Zoan,,Bunbuku,,,Alive,
WCI 31,,,,,,,,Bouche,Head Chef,,Alive,
Rocks Pirates,76,April 12th,S,,,,"68 cm (2'3"")",Buckingham Stussy,Pirate,Grand Line,Alive,
Cross Guild,37 (debut);,August 8th,F,,Chop-Chop Fruit,Paramecia,"192 cm (6'3½"")",Buggy,Pirate Captain,Grand Line,Alive,
Black Cat Pirates,21 (debut),February 7th,X,,,,"216 cm (7'1"")",Butchie,Pirate,,Alive,
Straw Hat Pirates,38 (first death);,April 3rd,X,,Revive-Revive Fruit,Paramecia,"266 cm (8'8¾"") (debut)",Brook,Pirate,West Blue,Alive,
Thriller Bark Pirates,,,,,,,,Oinkchuck,Surprise Zombie,,Deceased,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
,,November 19th,,,,,,Brontosaurus,,,Deceased,
Giant Warrior Pirates,158 (debut),February 1st,F,,,,"2130 cm (69'10"")",Broggy;,Pirate,Grand Line,Alive,
Donquixote Pirates,30,April 8th,F,,Spin-Spin Fruit,Paramecia,"696 cm (22'10"")",Buffalo,Pirate,North Blue,Alive,
Whitebeard Pirates,,,,,,,,Brocca,Pirate,,Alive,
Shandia,22 (debut),October 10th,X,,,,"179 cm (5'10"")",Braham,Shandia,Sky Islands,Alive,
Whitebeard Pirates,,,,,,,,Brew,Pirate,,Alive,
,,,,,,,,Supersonic Duck Squadron,,,,
Orange Town,73 (debut),January 16th,F,,,,"172 cm (5'8"")",Boodle,Mayor,East Blue,Alive,
Kid Pirates,,,,,,,,N/A,Pirate,,Alive,
Beasts Pirates,,,,,Gorilla ,Artificial Zoan,,Briscola,Shinuchi,,Alive,
Happo Navy,Under 28,August 20th,,,,,,Boo,First Mate,,Alive,
Marines,54 (debut),September 3rd,X,,,,"190 cm (6'3"")",Brandnew (FUNimation and Crunchyroll Simulcast; Formerly Viz);,Commodore,Grand Line,Alive,
Marines,56 (debut),November 23rd,XF,,Glint-Glint Fruit,Logia,"302 cm (9'11"")",Borsalino,Admiral,North Blue,Alive,
Red Hair Pirates,,,,,,,,Bonk Punch,Pirate,,Alive,
Revolutionary Army,,,,,,,,Bunny Joe,Revolutionary,,Alive,
Marines,,,,,,,,N/A,Commissioned Marine Officer,,Alive,
Tontatta Kingdom,,August 14th,,,,,,Bomba,Vice Chief,,Alive,
,,,,,,,,Bongoh,Lumber Dealer (former),,Alive,
Big Mom Pirates,,,,,,,,Bobbin,Combatant,,Unknown,
Marines,,,,,,,,N/A,Marine,,Alive,
Kuja,28 (debut),September 3rd,S,,Snake-Snake Fruit Anaconda Model (VIZ Media);,Zoan,"453 cm (14'10"")",Boa Sandersonia,Pirate,Calm Belt,Alive,
Tontatta Kingdom,,,,,,,,Bobomba,Pirate,,Alive,
Kuja,29 (debut),September 2nd,S,,Love-Love Fruit,Paramecia,"191 cm (6'3½"") (debut, after timeskip)",Boa Hancock,Pirate Captain,Calm Belt,Alive,
Bluejam Pirates,42 (debut),February 16th,X,,,,"261 cm (8'7"")",Bluejam,Pirate,East Blue,Unknown,
Mogaro Kingdom,33,February 19th,X,,,,"320 cm (10'6"")",Bobby Funk,Assassin,Grand Line,Alive,
Kuja,26 (debut),September 5th,S,,Snake-Snake Fruit King Cobra Model (VIZ Media);,Zoan,"432 cm (14'2"")",Boa Marigold,Pirate,Calm Belt,Alive,
Roger Pirates,,,,,,,,Bluemarine,Pirate,,Unknown,
Ideo Pirates,24,November 27th,S,,,,"314 cm (10'3½"")",Blue Gilly (Viz);,Martial Artist,Grand Line,Alive,
Kuja,,July 11th,,,,,,Bluefan,Pirate,Calm Belt,Alive,
CP0,30 (debut),April 20th,X,,Door-Door Fruit,Paramecia,"258 cm  (8'5½"")",Blueno,Cipher Pol,North Blue,Alive,
Beasts Pirates,29,September 24th,S,,"Spider-Spider Fruit, Rosamygale grauvogeli Model",Ancient Zoan,"820 cm (26'11"")",Black Maria,Shinuchi,Wano Country,Alive,
Subordinate of the ,,February 6th,,,,,,Blondie,Pirate,,Alive,
,,,,,,,,Beeyo (Viz);,,,Alive,
Mokomo Dukedom,,,,,,,,BB (Blackback),Guardian,,Alive,
Subordinate of the ,,February 3rd,,,,,,Bizarre,Pirate,,Alive,
Beasts Pirates,28,August 1st,XF,,,,"182 cm (6'0"")",Bishamon,Ninja,Wano Country,Alive,
Whitebeard Pirates,,February 5th,,,Pocket-Pocket Fruit,Paramecia,,Blamenco,6th Division ,South Blue,Alive,
,,,,,,,,Bimine,Mayor,,Alive,
Newkama Land,30 (debut),August 15th,F,,Clone-Clone Fruit,Paramecia,"238 cm (7'10"")",Bentham,Queen of ,East Blue,Alive,
,,,,,,,,Bingoh,Priest (former); Cooper (former),,Alive,
Tontatta Kingdom,,,,,"Bug-Bug Fruit, Model: Hornet",Zoan,,Bian,Leader of Pink Bee Squad;,,Alive,
Heart Pirates,20 (debut),November 20th (Fur Day),S,,,,"240 cm (7'10"")",Bepo,Pirate,,Alive,
Foxy Pirates,,May 25th,,,,,,Big Bun (Viz);,Pirate,,Alive,
Marines,,December 3rd,S,,,,"186 cm (6'1"")",Belle-Mère (VIZ Media);,Mikan Farmer; ,East Blue,Deceased,
